application_id,name,email,submission_time,phone_number,marks
1,User1,user1@mail.com,52,6950318585,98
2,User2,user2@mail.com,93,1068574553,98
3,User3,user3@mail.com,15,1991681409,61
4,User4,user4@mail.com,72,4578544903,88
5,User5,user5@mail.com,61,6974559824,51
6,User6,user2@mail.com,21,7120997885,52
7,User7,user7@mail.com,83,6188069941,98
8,User8,user8@mail.com,87,7733221635,86
9,User9,user9@mail.com,75,5429456860,98
10,User10,user10@mail.com,75,7226646571,66
11,User11,user11@mail.com,5,6992124617,98
12,User12,user12@mail.com,5,9274936803,51
13,User13,user13@mail.com,5,8418576734,51
14,User14,user14@mail.com,22,5128202429,77
15,User15,user15@mail.com,53,7612927342,72
16,User16,user16@mail.com,2,3520077079,86
17,User17,user17@mail.com,88,9440707288,81
18,User18,user18@mail.com,30,2272485020,82
19,User19,user19@mail.com,38,1067157848,50
20,User20,user20@mail.com,2,4055190407,68
21,User21,user21@mail.com,64,3602578298,10
22,User22,user22@mail.com,60,4978431977,93
23,User23,user23@mail.com,21,4929721883,75
24,User24,user24@mail.com,33,5704750624,81
25,User25,user25@mail.com,76,2644658402,55
26,User26,user26@mail.com,58,1991681409,81
27,User27,user27@mail.com,22,8941024386,53
28,User28,user28@mail.com,89,4099804676,60
29,User29,user29@mail.com,49,6308514806,66
30,User30,user30@mail.com,91,9763595546,87
31,User31,user31@mail.com,59,4052273870,15
32,User32,user32@mail.com,42,7181903227,54
33,User33,user33@mail.com,92,1866377394,83
34,User34,user34@mail.com,60,5893391332,55
35,User35,user35@mail.com,80,3318599822,71
36,User36,user36@mail.com,15,9076547867,60
37,User37,user37@mail.com,62,7976547497,97
38,User38,user38@mail.com,62,2269737021,65
39,User39,user39@mail.com,47,1453094388,82
40,User40,user40@mail.com,62,7255768347,58
41,User41,user41@mail.com,51,9088627133,55
42,User42,user42@mail.com,55,5819331062,65
43,User43,user43@mail.com,64,2168799104,78
44,User44,user44@mail.com,3,3781807898,52
45,User45,user45@mail.com,51,5297202296,69
46,User46,user46@mail.com,7,2309025538,85
47,User47,user47@mail.com,21,3082328893,68
48,User48,user48@mail.com,73,3973990112,75
49,User49,user49@mail.com,39,6234552479,52
50,User50,user50@mail.com,18,2734463155,68
